epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,486.022,0.8567,2.56649,1.23909,0.98738,0.13035,0.73329,0.54378,0.85995,3.0401,1.28956,0.000410354,0.000410354,0.000410354
2,974.418,0.96015,1.6117,1.27522,0.62277,0.57862,0.61422,0.40243,1.32969,2.41268,1.97281,0.000772437,0.000772437,0.000772437
3,1452.35,0.97586,1.46952,1.27799,0.64733,0.57303,0.65084,0.43821,1.20052,2.40768,1.73535,0.00107952,0.00107952,0.00107952
4,1941.42,0.9835,1.39526,1.29584,0.54429,0.51732,0.62302,0.41554,1.19135,2.23881,1.57774,0.0010025,0.0010025,0.0010025
5,2491.49,0.93933,1.27745,1.26231,0.8199,0.72715,0.82358,0.57471,0.99335,1.51079,1.35972,0.00092,0.00092,0.00092
6,3360.68,0.88751,1.39166,1.27184,0.76064,0.74159,0.81035,0.59212,0.98471,1.70394,1.3869,0.0008375,0.0008375,0.0008375
7,3837.84,0.84319,1.1697,1.23433,0.82333,0.62636,0.75334,0.54525,0.9576,1.8022,1.33434,0.000755,0.000755,0.000755
8,4319.78,0.79973,1.06043,1.20072,0.85853,0.8455,0.9006,0.6879,0.88729,1.00803,1.27506,0.0006725,0.0006725,0.0006725
9,4809.53,0.78986,1.00303,1.17885,0.79925,0.74364,0.82364,0.64056,0.83173,1.19564,1.23009,0.00059,0.00059,0.00059
10,5299.22,0.72751,0.89241,1.12194,0.86223,0.8185,0.88228,0.68828,0.93843,0.96778,1.40597,0.0005075,0.0005075,0.0005075
11,5794.81,0.70102,0.81014,1.1,0.91618,0.82104,0.91389,0.72921,0.8963,0.84994,1.3316,0.000425,0.000425,0.000425
12,6288.5,0.66984,0.76057,1.09097,0.92636,0.84997,0.93285,0.74847,0.89419,0.78284,1.42262,0.0003425,0.0003425,0.0003425
13,6781.22,0.62018,0.68607,1.04374,0.91289,0.85797,0.92602,0.76173,0.82957,0.7423,1.38551,0.00026,0.00026,0.00026
14,7279.83,0.59547,0.6591,1.03203,0.91304,0.88527,0.94333,0.77146,0.81752,0.67111,1.35374,0.0001775,0.0001775,0.0001775
15,7776.4,0.58668,0.61334,1.02817,0.93668,0.8978,0.94531,0.77905,0.82221,0.66416,1.37253,9.5e-05,9.5e-05,9.5e-05
