epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5819,1.45441,4.23044,1.45719,0,0,0,0,1.29841,4.30723,1.22661,1.38e-05,1.38e-05,1.38e-05
2,60.0925,1.29122,4.15829,1.33084,0,0,0,0,1.25845,4.30146,1.2093,2.90007e-05,2.90007e-05,2.90007e-05
3,89.5505,1.30375,4.072,1.48289,0,0,0,0,1.23821,4.2812,1.19997,4.19244e-05,4.19244e-05,4.19244e-05
4,118.821,1.19889,3.96704,1.31657,0,0,0,0,1.226,4.26325,1.19196,5.25711e-05,5.25711e-05,5.25711e-05
5,147.689,1.23412,3.90298,1.32326,0.0625,0.0013,0.0319,0.02871,1.21736,4.23928,1.19644,6.09408e-05,6.09408e-05,6.09408e-05
6,176.251,1.31494,3.86749,1.34608,0.0625,0.00391,0.0332,0.02659,1.20776,4.21689,1.1943,6.70335e-05,6.70335e-05,6.70335e-05
7,203.993,1.23129,3.69975,1.30859,0.05605,0.04948,0.04527,0.03376,1.20392,4.15372,1.20706,7.08492e-05,7.08492e-05,7.08492e-05
8,232.295,1.19649,3.52675,1.33327,0.05958,0.10156,0.05822,0.0423,1.21032,4.09385,1.2186,7.23879e-05,7.23879e-05,7.23879e-05
9,260.824,1.16867,3.42525,1.28789,0.04794,0.1888,0.06578,0.04711,1.21478,3.98616,1.23158,7.16496e-05,7.16496e-05,7.16496e-05
10,289.728,1.19453,3.39451,1.32681,0.04607,0.21224,0.07521,0.0551,1.23871,3.91793,1.24975,6.86343e-05,6.86343e-05,6.86343e-05
11,318.029,1.11406,3.3331,1.2518,0.04398,0.21745,0.08181,0.06044,1.24408,3.83903,1.25301,6.3342e-05,6.3342e-05,6.3342e-05
12,346.298,1.16435,3.38142,1.34958,0.10524,0.26172,0.14132,0.11211,1.27354,3.74625,1.27368,5.57727e-05,5.57727e-05,5.57727e-05
13,375.407,1.15586,3.12325,1.3845,0.10418,0.26302,0.14831,0.11761,1.2838,3.71087,1.28098,4.59264e-05,4.59264e-05,4.59264e-05
14,403.978,1.07646,3.21001,1.30901,0.10279,0.3151,0.16288,0.12595,1.29228,3.6415,1.2925,3.38031e-05,3.38031e-05,3.38031e-05
15,432.339,1.16834,3.20964,1.32671,0.08365,0.38151,0.16599,0.12855,1.30495,3.5737,1.29876,1.94028e-05,1.94028e-05,1.94028e-05
